date,home_team,away_team,home_goals,away_goals,match_importance_tier
2019-02-11,Tunisia,USA,1,2,QUALIFIER
2019-03-03,USA,Mexico,0,0,QUALIFIER
2023-11-01,Germany,Cameroon,2,0,CONFED_CAMP
2025-12-07,England,Saudi Arabia,0,1,QUALIFIER
2020-07-31,Denmark,France,1,1,QUALIFIER
2026-05-11,Ghana,Cameroon,1,0,CONFED_CAMP
2026-01-31,Cameroon,France,0,0,QUALIFIER
2021-07-09,Mexico,Netherlands,1,1,QUALIFIER
2018-01-02,Portugal,Uruguay,0,0,QUALIFIER
2025-12-03,Uruguay,Croatia,9,0,CONFED_CAMP
2018-02-27,Senegal,South Korea,0,1,CONFED_CAMP
2021-02-01,France,Cameroon,1,0,FRIENDLY
2018-12-31,Tunisia,South Korea,1,0,CONFED_CAMP
2023-03-12,Uruguay,Saudi Arabia,0,2,QUALIFIER
2025-01-17,Colombia,Senegal,0,0,WC_FINAL
2018-02-03,Netherlands,USA,1,0,FRIENDLY
2025-06-01,Uruguay,Senegal,3,3,WC_FINAL
2025-12-11,Japan,Mexico,1,1,QUALIFIER
2018-08-18,Australia,Tunisia,7,2,QUALIFIER
2020-07-12,Spain,Uruguay,3,0,FRIENDLY
2023-12-23,Qatar,Ghana,2,3,FRIENDLY
2022-10-02,Serbia,Poland,0,0,QUALIFIER
2020-08-04,Costa Rica,Australia,1,2,WC_FINAL
2018-11-29,Ecuador,Brazil,1,2,FRIENDLY
2019-06-12,Ghana,Canada,0,0,FRIENDLY
2022-01-23,Tunisia,South Korea,4,1,QUALIFIER
2023-08-10,Senegal,Netherlands,4,0,QUALIFIER
2023-04-13,Belgium,Poland,2,2,FRIENDLY
2023-11-18,Cameroon,France,3,0,QUALIFIER
2020-06-25,Ecuador,Argentina,2,8,CONFED_CAMP
2020-10-22,Morocco,Saudi Arabia,0,0,QUALIFIER
2026-02-04,Tunisia,Poland,0,0,QUALIFIER
2024-04-12,Mexico,Poland,0,1,FRIENDLY
2023-11-17,Ecuador,Morocco,1,9,FRIENDLY
2020-03-29,Belgium,Tunisia,0,2,CONFED_CAMP
2023-09-02,Australia,England,2,3,QUALIFIER
2023-11-26,Qatar,Brazil,4,0,CONFED_CAMP
2018-12-19,Canada,Portugal,1,0,WC_FINAL
2026-05-18,Japan,Denmark,3,2,QUALIFIER
2021-02-03,Tunisia,Cameroon,0,0,QUALIFIER
2020-11-23,USA,Poland,0,0,QUALIFIER
2026-04-23,England,Croatia,1,0,FRIENDLY
2018-08-08,USA,Ghana,2,2,QUALIFIER
2025-12-18,Mexico,Senegal,7,0,WC_FINAL
2019-08-29,Cameroon,Serbia,2,0,FRIENDLY
2021-05-02,Spain,Mexico,2,1,WC_FINAL
2026-03-26,France,Denmark,1,0,QUALIFIER
2021-05-19,Ghana,Mexico,0,2,QUALIFIER
2021-04-27,Switzerland,Cameroon,6,2,FRIENDLY
2024-10-06,Australia,Denmark,1,0,QUALIFIER
2025-10-19,Ecuador,Japan,7,0,CONFED_CAMP
2020-06-05,Spain,Poland,1,1,QUALIFIER
2024-09-12,Costa Rica,Switzerland,0,1,QUALIFIER
2021-05-20,Iran,Belgium,7,0,FRIENDLY
2020-03-06,Spain,Iran,0,0,QUALIFIER
2018-03-16,France,Brazil,2,1,FRIENDLY
2018-01-05,England,Saudi Arabia,0,1,QUALIFIER
2025-06-01,Serbia,Netherlands,0,0,WC_FINAL
2025-05-13,Morocco,Poland,2,0,FRIENDLY
2021-06-25,Japan,Denmark,1,1,FRIENDLY
2026-04-13,Serbia,Cameroon,0,1,CONFED_CAMP
2022-11-05,South Korea,Morocco,1,0,FRIENDLY
2018-02-28,Netherlands,Cameroon,1,5,FRIENDLY
2022-04-22,France,Uruguay,1,2,CONFED_CAMP
2020-01-03,Qatar,Argentina,0,1,QUALIFIER
2023-09-03,Tunisia,Germany,2,0,FRIENDLY
2018-08-10,Colombia,Croatia,1,0,QUALIFIER
2025-04-09,Mexico,Portugal,0,0,QUALIFIER
2021-09-20,France,Belgium,1,0,QUALIFIER
2019-07-20,Uruguay,Netherlands,7,4,QUALIFIER
2023-05-26,Switzerland,Netherlands,0,0,FRIENDLY
2018-11-16,Iran,Poland,2,0,FRIENDLY
2023-09-30,Spain,Denmark,1,0,QUALIFIER
2022-09-22,Poland,Tunisia,0,0,FRIENDLY
2025-09-11,South Korea,Saudi Arabia,0,1,FRIENDLY
2023-05-30,Senegal,Brazil,0,2,QUALIFIER
2022-10-10,Spain,Netherlands,2,3,FRIENDLY
2025-02-15,Cameroon,USA,4,0,WC_FINAL
2024-10-25,Canada,Mexico,1,0,FRIENDLY
2022-07-30,Australia,Costa Rica,0,0,FRIENDLY
2021-07-07,Mexico,Portugal,2,1,FRIENDLY
2025-03-22,Germany,Belgium,3,0,QUALIFIER
2018-04-24,Belgium,Denmark,0,0,CONFED_CAMP
2026-03-14,Ecuador,Tunisia,2,0,QUALIFIER
2024-02-16,Belgium,Ghana,4,6,FRIENDLY
2019-08-19,Mexico,England,3,1,QUALIFIER
2019-11-21,Portugal,Costa Rica,0,0,QUALIFIER
2020-11-01,England,Denmark,0,0,QUALIFIER
2025-02-19,Belgium,USA,0,0,FRIENDLY
2025-03-04,Senegal,Argentina,0,0,FRIENDLY
2023-09-09,Mexico,South Korea,0,0,FRIENDLY
2018-01-27,Uruguay,Argentina,0,1,QUALIFIER
2018-09-14,Portugal,Serbia,1,0,QUALIFIER
2023-01-22,Switzerland,Qatar,0,0,QUALIFIER
2023-11-27,Portugal,Uruguay,7,2,QUALIFIER
2022-07-10,Costa Rica,Colombia,5,0,QUALIFIER
2020-06-17,Argentina,Denmark,0,2,FRIENDLY
2023-09-26,Uruguay,Argentina,1,1,FRIENDLY
2019-08-10,Argentina,Croatia,1,1,QUALIFIER
2024-05-04,South Korea,USA,2,1,QUALIFIER
2024-05-04,Ecuador,Cameroon,2,0,FRIENDLY
2026-02-25,Costa Rica,Denmark,3,0,QUALIFIER
2021-07-31,Iran,Cameroon,0,7,QUALIFIER
2023-08-19,Croatia,Australia,1,0,FRIENDLY
2022-02-08,Switzerland,Canada,0,0,QUALIFIER
2018-11-12,Costa Rica,South Korea,2,2,QUALIFIER
2024-12-10,Japan,Morocco,1,1,QUALIFIER
2019-04-03,Croatia,Cameroon,1,1,WC_FINAL
2022-02-07,Saudi Arabia,Switzerland,0,2,QUALIFIER
2023-06-02,Tunisia,Canada,0,0,FRIENDLY
2020-08-25,Costa Rica,Cameroon,1,1,QUALIFIER
2026-02-20,Poland,Croatia,1,1,FRIENDLY
2023-05-22,Poland,Australia,0,3,QUALIFIER
2025-09-06,Costa Rica,England,0,1,FRIENDLY
2025-12-06,Iran,Saudi Arabia,4,1,QUALIFIER
2021-07-15,Uruguay,Colombia,1,1,QUALIFIER
2025-01-18,Argentina,Colombia,0,1,QUALIFIER
2022-02-18,Australia,Senegal,0,0,QUALIFIER
2020-11-10,Japan,Serbia,1,0,FRIENDLY
2020-09-02,Switzerland,Argentina,0,1,QUALIFIER
2019-08-13,Spain,Saudi Arabia,2,0,QUALIFIER
2025-12-20,South Korea,Ghana,0,1,QUALIFIER
2025-10-04,Saudi Arabia,Cameroon,0,0,QUALIFIER
2025-12-17,Portugal,Qatar,2,0,FRIENDLY
2021-04-18,Australia,Netherlands,0,1,QUALIFIER
2021-12-20,Tunisia,Uruguay,0,1,FRIENDLY
2018-06-27,France,Poland,0,0,FRIENDLY
2023-02-21,Portugal,Spain,3,0,QUALIFIER
2025-09-21,Qatar,Tunisia,2,0,FRIENDLY
2025-07-22,Australia,Belgium,0,0,FRIENDLY
2019-04-17,Belgium,Switzerland,0,7,FRIENDLY
2020-12-26,Ghana,Ecuador,0,1,QUALIFIER
2022-08-27,Costa Rica,Serbia,0,0,QUALIFIER
2025-08-02,Portugal,Morocco,0,0,FRIENDLY
2024-07-14,Switzerland,Brazil,0,0,FRIENDLY
2020-08-20,Morocco,Croatia,1,2,FRIENDLY
2026-03-10,Ecuador,Portugal,0,0,FRIENDLY
2022-05-23,Mexico,France,1,0,QUALIFIER
2019-10-13,Saudi Arabia,Germany,6,4,CONFED_CAMP
2020-07-24,Spain,Qatar,5,0,FRIENDLY
2019-08-19,Netherlands,England,0,0,CONFED_CAMP
2025-06-12,Tunisia,Saudi Arabia,0,1,CONFED_CAMP
2024-08-08,Morocco,Cameroon,0,2,QUALIFIER
2023-05-20,Mexico,Netherlands,2,2,CONFED_CAMP
2026-01-29,Netherlands,Germany,3,7,WC_FINAL
2019-08-11,England,Canada,1,1,QUALIFIER
2019-08-19,Qatar,Croatia,0,0,QUALIFIER
2020-06-20,Saudi Arabia,Iran,0,0,QUALIFIER
2022-12-18,Germany,Netherlands,1,4,QUALIFIER
2020-02-13,Brazil,Cameroon,1,0,QUALIFIER
2021-12-15,Senegal,England,1,1,QUALIFIER
2022-05-27,USA,Saudi Arabia,0,2,QUALIFIER
2024-08-13,Brazil,Mexico,0,5,FRIENDLY
2023-03-03,Argentina,Colombia,0,1,QUALIFIER
2026-03-24,France,Saudi Arabia,0,4,FRIENDLY
2020-12-21,Ghana,Uruguay,0,2,QUALIFIER
2018-07-29,Cameroon,Australia,0,4,FRIENDLY
2022-04-22,Mexico,Argentina,2,0,QUALIFIER
2021-06-04,Ghana,Tunisia,1,1,QUALIFIER
2020-04-13,Denmark,Portugal,0,1,CONFED_CAMP
2022-07-06,South Korea,Iran,0,0,FRIENDLY
2019-11-19,Croatia,France,2,0,QUALIFIER
2019-01-25,Australia,Tunisia,0,5,CONFED_CAMP
2024-02-23,England,France,1,0,QUALIFIER
2019-01-08,France,Brazil,1,3,QUALIFIER
2024-10-09,France,Colombia,0,1,QUALIFIER
2025-03-10,Spain,Costa Rica,0,4,QUALIFIER
2024-10-05,Morocco,Cameroon,2,5,QUALIFIER
2020-04-23,Croatia,France,6,1,QUALIFIER
2023-10-23,England,Canada,0,0,CONFED_CAMP
2023-02-02,Costa Rica,Portugal,3,1,QUALIFIER
2025-04-12,Senegal,Denmark,2,0,QUALIFIER
2026-01-30,Ecuador,Portugal,0,2,QUALIFIER
2023-07-27,Serbia,Portugal,8,1,QUALIFIER
2019-07-12,Tunisia,Japan,0,1,FRIENDLY
2023-06-10,Senegal,Argentina,0,2,QUALIFIER
2025-02-07,Serbia,Argentina,1,0,CONFED_CAMP
2021-08-09,Uruguay,USA,0,0,QUALIFIER
2020-02-24,France,Senegal,0,2,QUALIFIER
2022-10-03,Australia,Denmark,2,1,WC_FINAL
2022-12-11,USA,Senegal,1,0,QUALIFIER
2019-09-28,France,Qatar,0,0,QUALIFIER
2024-07-25,Argentina,Colombia,5,0,QUALIFIER
2020-05-16,South Korea,Poland,1,0,CONFED_CAMP
2024-01-06,Colombia,Saudi Arabia,0,2,FRIENDLY
2021-05-09,Costa Rica,Portugal,2,0,QUALIFIER
2025-04-05,Brazil,Qatar,3,1,QUALIFIER
2018-06-25,Morocco,Portugal,3,5,QUALIFIER
2020-12-01,Spain,Australia,2,1,CONFED_CAMP
2025-01-05,South Korea,Poland,2,0,FRIENDLY
2025-04-17,Japan,Canada,0,0,QUALIFIER
2025-12-05,Argentina,Saudi Arabia,0,3,CONFED_CAMP
2021-02-18,Brazil,Netherlands,0,0,QUALIFIER
2024-06-22,Spain,Tunisia,0,0,FRIENDLY
2025-12-10,USA,Argentina,2,0,FRIENDLY
2023-01-24,Belgium,Cameroon,0,0,QUALIFIER
2025-02-23,Tunisia,Australia,0,0,FRIENDLY
2021-04-29,Japan,England,0,0,FRIENDLY
2024-08-24,Argentina,Japan,0,0,FRIENDLY
2020-05-22,Ghana,Uruguay,0,0,FRIENDLY
2018-02-13,Spain,Tunisia,1,0,QUALIFIER
2024-02-22,Mexico,Switzerland,0,0,FRIENDLY
2025-05-10,Australia,France,0,1,QUALIFIER
2022-12-29,Netherlands,Japan,3,0,FRIENDLY
2020-12-08,Ecuador,Portugal,0,2,QUALIFIER
2023-01-17,Morocco,Australia,1,0,FRIENDLY
2023-01-07,Belgium,Senegal,4,5,QUALIFIER
2022-10-03,Iran,France,1,0,CONFED_CAMP
2018-01-31,Netherlands,Brazil,1,2,FRIENDLY
2025-12-09,Spain,France,2,4,QUALIFIER
2023-04-13,Spain,Denmark,2,0,CONFED_CAMP
2023-07-31,Netherlands,Saudi Arabia,0,2,QUALIFIER
2020-04-30,Switzerland,Spain,3,2,FRIENDLY
2019-03-24,Morocco,Colombia,2,0,QUALIFIER
2024-12-22,France,Switzerland,1,1,QUALIFIER
2019-06-07,South Korea,Japan,2,0,QUALIFIER
2026-02-01,Costa Rica,Ghana,3,2,CONFED_CAMP
2021-12-21,Colombia,Tunisia,0,0,QUALIFIER
2019-03-09,Portugal,Ghana,0,0,CONFED_CAMP
2018-03-05,Australia,Costa Rica,0,4,QUALIFIER
2025-02-22,Brazil,Tunisia,2,0,CONFED_CAMP
2021-04-28,Poland,Ecuador,0,0,QUALIFIER
2019-05-25,Switzerland,Canada,2,0,FRIENDLY
2018-01-07,Portugal,Switzerland,1,2,FRIENDLY
2023-01-27,France,Japan,5,0,QUALIFIER
2025-07-05,Iran,Spain,2,1,QUALIFIER
2023-01-17,Denmark,Canada,2,1,CONFED_CAMP
2019-03-15,Switzerland,England,2,0,QUALIFIER
2019-04-17,Ecuador,Portugal,3,0,CONFED_CAMP
2024-11-30,Senegal,Belgium,1,3,QUALIFIER
2019-04-01,Poland,Ghana,0,0,CONFED_CAMP
2023-03-21,Spain,Poland,3,4,QUALIFIER
2024-05-27,Morocco,Australia,1,2,WC_FINAL
2019-05-18,Brazil,Ecuador,1,1,CONFED_CAMP
2022-04-12,England,Spain,3,0,FRIENDLY
2020-07-29,Iran,Serbia,2,1,CONFED_CAMP
2025-03-05,Canada,Tunisia,1,0,FRIENDLY
2024-10-03,Germany,Senegal,1,1,QUALIFIER
2021-07-09,Costa Rica,Iran,0,0,FRIENDLY
2026-01-19,Spain,Cameroon,2,1,QUALIFIER
2019-11-02,Saudi Arabia,Germany,0,1,FRIENDLY
2021-08-18,Morocco,Serbia,1,0,QUALIFIER
2025-11-19,Senegal,Japan,1,0,WC_FINAL
2019-02-22,Iran,Saudi Arabia,2,0,CONFED_CAMP
2022-05-12,Switzerland,Mexico,1,0,WC_FINAL
2022-08-23,Iran,Ghana,0,1,QUALIFIER
2020-03-19,England,USA,2,0,QUALIFIER
2019-06-23,Portugal,Denmark,1,0,QUALIFIER
2020-05-01,Portugal,Colombia,3,3,WC_FINAL
2023-05-09,Switzerland,Canada,0,0,CONFED_CAMP
2021-04-23,Tunisia,Ghana,0,3,FRIENDLY
2025-11-13,Senegal,USA,0,0,FRIENDLY
2018-12-19,Cameroon,Australia,1,0,QUALIFIER
2022-04-10,Germany,Senegal,2,2,QUALIFIER
2022-06-29,Canada,Colombia,1,0,QUALIFIER
2025-07-21,Qatar,Argentina,1,1,QUALIFIER
2022-11-03,Denmark,Ecuador,0,0,QUALIFIER
2022-02-23,Ecuador,Tunisia,2,1,FRIENDLY
2024-07-27,Poland,Cameroon,0,0,WC_FINAL
2022-12-04,Ghana,Ecuador,0,0,CONFED_CAMP
2020-07-17,Switzerland,Germany,8,0,QUALIFIER
2025-01-03,Switzerland,Argentina,2,1,CONFED_CAMP
2023-07-30,USA,Brazil,2,1,CONFED_CAMP
2024-10-09,Croatia,Germany,0,0,QUALIFIER
2020-01-04,Canada,Colombia,0,0,QUALIFIER
2020-01-06,Senegal,Denmark,1,0,QUALIFIER
2023-12-17,Croatia,Poland,1,1,QUALIFIER
2019-03-13,South Korea,Costa Rica,2,0,FRIENDLY
2021-03-04,Ecuador,Denmark,0,1,WC_FINAL
2020-12-30,Switzerland,Iran,3,1,CONFED_CAMP
2025-04-19,Senegal,Germany,2,1,FRIENDLY
2023-02-06,Ecuador,England,0,1,QUALIFIER
2018-10-06,Colombia,Croatia,0,0,WC_FINAL
2019-01-10,Serbia,Canada,2,1,QUALIFIER
2018-08-26,Canada,Croatia,1,2,QUALIFIER
2019-10-01,Poland,Costa Rica,11,1,QUALIFIER
2024-07-26,Mexico,Morocco,0,7,FRIENDLY
2024-04-15,Mexico,Brazil,2,2,CONFED_CAMP
2018-09-25,South Korea,France,0,3,FRIENDLY
2023-06-19,Colombia,Portugal,4,0,CONFED_CAMP
2026-01-18,Ghana,Poland,0,0,QUALIFIER
2019-07-21,Serbia,Colombia,0,0,QUALIFIER
2018-11-27,Croatia,Japan,1,1,CONFED_CAMP
2022-03-29,Serbia,Uruguay,2,0,QUALIFIER
2024-05-31,Denmark,Ecuador,1,0,QUALIFIER
2025-10-11,Portugal,Argentina,0,0,QUALIFIER
2022-02-01,Senegal,Cameroon,0,1,QUALIFIER
2018-03-27,Canada,Argentina,0,0,QUALIFIER
2025-08-23,England,Mexico,0,2,CONFED_CAMP
2023-06-29,Costa Rica,Mexico,1,5,QUALIFIER
2020-12-04,Mexico,Croatia,1,0,CONFED_CAMP
2025-05-13,Cameroon,Uruguay,0,0,QUALIFIER
2025-02-04,Brazil,Qatar,1,0,CONFED_CAMP
2020-10-26,Uruguay,France,2,0,QUALIFIER
2024-12-04,Japan,Cameroon,1,0,FRIENDLY
2019-02-27,Netherlands,Australia,2,2,QUALIFIER
2018-05-12,Switzerland,Germany,1,0,QUALIFIER
2022-09-21,Netherlands,Poland,0,0,FRIENDLY
2018-07-11,Netherlands,Portugal,0,1,FRIENDLY
2025-04-10,Tunisia,Canada,1,2,FRIENDLY
2020-12-28,Germany,Saudi Arabia,1,0,QUALIFIER
2023-11-16,South Korea,Poland,0,1,QUALIFIER
2024-05-11,USA,Tunisia,2,0,QUALIFIER
2025-10-12,Croatia,Spain,3,2,WC_FINAL
2024-10-21,Poland,Switzerland,0,0,CONFED_CAMP
2022-07-15,Germany,France,1,0,FRIENDLY
2018-05-10,France,Iran,1,2,FRIENDLY
2025-05-20,Ghana,Switzerland,0,11,FRIENDLY
2021-11-20,Serbia,South Korea,6,0,FRIENDLY
2018-03-10,Tunisia,Serbia,2,2,CONFED_CAMP
2020-07-23,Australia,Canada,0,0,QUALIFIER
2020-02-10,Qatar,Tunisia,3,2,FRIENDLY
2019-10-25,Argentina,Colombia,0,0,QUALIFIER
2022-12-27,England,Spain,0,1,CONFED_CAMP
2019-10-11,Canada,Ecuador,0,2,FRIENDLY
2026-05-26,Saudi Arabia,Brazil,2,0,FRIENDLY
2020-10-22,Saudi Arabia,Denmark,1,1,QUALIFIER
2025-03-26,Tunisia,Uruguay,0,2,QUALIFIER
2022-10-05,Qatar,Iran,0,1,CONFED_CAMP
2024-10-15,Uruguay,Spain,0,2,QUALIFIER
2021-03-12,Australia,Morocco,1,0,QUALIFIER
2025-03-31,France,Colombia,0,5,QUALIFIER
2025-05-11,Tunisia,Croatia,3,0,FRIENDLY
2022-08-25,Portugal,Netherlands,1,1,FRIENDLY
2018-04-15,Morocco,Qatar,0,4,QUALIFIER
2022-05-17,Cameroon,Costa Rica,2,2,QUALIFIER
2024-03-26,Costa Rica,Saudi Arabia,0,0,FRIENDLY
2018-04-13,Cameroon,England,1,0,QUALIFIER
2018-10-01,Germany,Brazil,3,0,CONFED_CAMP
2024-10-19,Iran,Mexico,2,1,FRIENDLY
2023-07-30,Uruguay,Ghana,0,1,FRIENDLY
2019-09-25,Qatar,Spain,0,3,QUALIFIER
2025-12-15,Germany,Croatia,5,0,QUALIFIER
2023-09-23,Spain,Denmark,1,1,FRIENDLY
2025-04-17,Brazil,Ecuador,1,0,FRIENDLY
2023-08-27,Mexico,Argentina,3,0,CONFED_CAMP
2021-10-24,France,Croatia,1,7,WC_FINAL
2023-04-13,USA,Belgium,8,2,CONFED_CAMP
2023-03-26,Mexico,Spain,4,0,CONFED_CAMP
2022-01-01,Mexico,Iran,0,0,FRIENDLY
2018-06-25,Switzerland,Brazil,3,2,FRIENDLY
2024-12-31,South Korea,Ecuador,7,1,QUALIFIER
2024-07-04,Serbia,Saudi Arabia,1,1,FRIENDLY
2025-05-15,Costa Rica,Denmark,5,1,QUALIFIER
2020-05-26,Portugal,Tunisia,1,0,FRIENDLY
2023-06-15,Colombia,Qatar,1,0,FRIENDLY
2019-08-19,Colombia,England,2,0,FRIENDLY
2025-01-16,France,Netherlands,2,0,CONFED_CAMP
2019-07-15,Iran,Uruguay,0,1,QUALIFIER
2023-01-17,Switzerland,Japan,0,1,CONFED_CAMP
2019-06-07,Switzerland,Germany,5,2,QUALIFIER
2019-02-01,Ghana,Uruguay,0,1,CONFED_CAMP
2025-05-31,Uruguay,Poland,1,1,QUALIFIER
2021-12-30,South Korea,Australia,1,0,QUALIFIER
2021-09-04,Ecuador,Switzerland,1,1,FRIENDLY
2018-01-07,France,Ecuador,0,1,QUALIFIER
2019-11-27,Poland,Costa Rica,2,1,FRIENDLY
2018-11-22,Spain,Brazil,2,0,CONFED_CAMP
2026-05-07,Portugal,Denmark,0,1,QUALIFIER
2025-06-09,Argentina,Belgium,0,0,FRIENDLY
2019-09-12,South Korea,Denmark,1,2,QUALIFIER
2019-01-20,Senegal,Portugal,2,1,QUALIFIER
2019-02-13,England,Ecuador,4,1,FRIENDLY
2022-07-09,Saudi Arabia,Ghana,0,3,FRIENDLY
2021-10-15,Saudi Arabia,Denmark,0,2,QUALIFIER
2019-12-27,Poland,Portugal,0,0,QUALIFIER
2023-11-01,Cameroon,Iran,1,1,FRIENDLY
2025-05-21,Portugal,Switzerland,0,3,QUALIFIER
2021-05-23,Iran,Belgium,2,3,CONFED_CAMP
2019-12-20,Qatar,Germany,3,3,FRIENDLY
2018-09-24,Mexico,Ghana,1,0,QUALIFIER
2022-01-17,Germany,South Korea,0,0,QUALIFIER
2020-03-27,Japan,Uruguay,0,2,QUALIFIER
2021-11-07,Costa Rica,Netherlands,1,3,FRIENDLY
2018-03-16,Saudi Arabia,Netherlands,4,1,CONFED_CAMP
2024-02-25,South Korea,Ecuador,6,3,QUALIFIER
2019-03-26,Belgium,Iran,7,1,QUALIFIER
2023-12-05,Australia,Tunisia,0,0,QUALIFIER
2021-10-15,Germany,Switzerland,3,0,FRIENDLY
2019-08-17,Morocco,Costa Rica,1,0,FRIENDLY
2018-01-06,Portugal,Morocco,3,0,FRIENDLY
2019-03-25,Belgium,Uruguay,1,0,FRIENDLY
2025-06-27,France,USA,0,1,QUALIFIER
2020-07-30,Saudi Arabia,Serbia,2,0,FRIENDLY
2025-04-14,Serbia,Tunisia,0,2,QUALIFIER
2026-01-26,Croatia,Germany,4,2,QUALIFIER
2023-01-01,Canada,Tunisia,1,1,CONFED_CAMP
2020-04-03,USA,Mexico,0,1,FRIENDLY
2021-07-20,Netherlands,Senegal,2,3,FRIENDLY
2023-01-28,Switzerland,Tunisia,1,0,QUALIFIER
2020-12-26,Ecuador,Ghana,1,4,FRIENDLY
2021-09-22,Denmark,Switzerland,0,0,FRIENDLY
2021-02-22,Canada,England,1,6,FRIENDLY
2026-01-02,Iran,Ecuador,0,2,QUALIFIER
2026-04-17,Mexico,Saudi Arabia,0,0,QUALIFIER
2019-12-01,France,USA,1,0,FRIENDLY
2021-01-13,Poland,Saudi Arabia,0,0,QUALIFIER
2019-05-13,Costa Rica,Japan,1,3,QUALIFIER
2020-01-23,South Korea,Belgium,3,0,QUALIFIER
2025-11-19,Portugal,Brazil,0,0,FRIENDLY
2024-08-18,Mexico,Argentina,1,0,QUALIFIER
2025-03-31,Cameroon,Serbia,4,0,CONFED_CAMP
2022-03-23,Qatar,Mexico,0,1,QUALIFIER
2023-11-10,England,Germany,2,0,FRIENDLY
2024-05-24,Ghana,Senegal,0,0,CONFED_CAMP
2022-09-10,Brazil,France,2,0,FRIENDLY
2019-06-18,Saudi Arabia,Netherlands,0,4,QUALIFIER
2025-08-02,Uruguay,Poland,1,5,QUALIFIER
2025-12-20,Switzerland,Brazil,0,6,FRIENDLY
2022-06-12,Canada,Belgium,6,0,CONFED_CAMP
2022-11-18,Japan,Switzerland,0,1,FRIENDLY
2024-08-10,South Korea,Switzerland,1,3,CONFED_CAMP
2024-10-26,Qatar,Ecuador,5,0,QUALIFIER
2026-01-05,Belgium,Cameroon,0,3,QUALIFIER
2019-01-03,Netherlands,Iran,4,0,WC_FINAL
2024-12-16,Poland,Argentina,0,1,FRIENDLY
2024-05-12,Switzerland,Iran,1,0,FRIENDLY
2025-10-10,USA,Australia,0,3,FRIENDLY
2021-01-18,Iran,Senegal,0,1,WC_FINAL
2018-04-08,Iran,South Korea,0,1,CONFED_CAMP
2021-05-16,Switzerland,Ecuador,0,0,QUALIFIER
2023-06-27,Ghana,Canada,1,0,QUALIFIER
2019-09-28,Tunisia,Morocco,0,0,QUALIFIER
2020-01-01,Poland,Portugal,1,0,QUALIFIER
2023-09-28,Ghana,Mexico,1,3,FRIENDLY
2021-10-22,Mexico,Serbia,0,3,FRIENDLY
2019-11-22,Portugal,Japan,0,0,CONFED_CAMP
2023-05-14,France,Morocco,2,3,FRIENDLY
2022-03-21,Switzerland,Spain,1,0,QUALIFIER
2020-10-31,Ghana,Croatia,1,1,QUALIFIER
2022-12-31,Colombia,Germany,0,0,FRIENDLY
2026-04-07,Costa Rica,Canada,1,0,QUALIFIER
2024-09-07,Denmark,Switzerland,1,1,QUALIFIER
2024-04-23,Cameroon,Senegal,4,0,FRIENDLY
2019-12-27,Netherlands,France,1,7,FRIENDLY
2019-05-02,Cameroon,Australia,1,3,CONFED_CAMP
2020-11-13,Poland,Denmark,0,0,WC_FINAL
2018-11-15,Saudi Arabia,Australia,0,0,QUALIFIER
2018-11-11,Japan,USA,3,0,QUALIFIER
2026-04-29,Ghana,Brazil,0,0,FRIENDLY
2019-10-16,Belgium,Ghana,2,1,FRIENDLY
2020-05-25,Belgium,Qatar,0,0,CONFED_CAMP
2025-04-11,Belgium,France,0,1,CONFED_CAMP
2025-05-21,France,Senegal,0,1,QUALIFIER
2024-05-15,Portugal,Argentina,1,4,QUALIFIER
2024-02-12,Canada,Switzerland,0,3,QUALIFIER
2024-02-17,Germany,Ecuador,0,0,WC_FINAL
2022-08-18,Cameroon,USA,0,1,QUALIFIER
2021-02-20,Cameroon,Brazil,0,0,QUALIFIER
2019-09-03,Cameroon,Croatia,4,4,FRIENDLY
2025-03-14,Denmark,Canada,0,1,QUALIFIER
2022-10-30,Iran,Senegal,1,1,FRIENDLY
2019-12-20,Iran,USA,0,0,QUALIFIER
2018-02-26,Croatia,Portugal,2,2,CONFED_CAMP
2022-04-21,Saudi Arabia,Germany,3,0,QUALIFIER
2019-03-17,Morocco,Croatia,1,4,QUALIFIER
2021-03-05,Poland,Australia,0,1,WC_FINAL
2021-07-29,Tunisia,France,1,1,FRIENDLY
2021-12-30,Japan,Croatia,1,1,QUALIFIER
2023-10-02,Belgium,France,1,1,QUALIFIER
2026-03-01,Saudi Arabia,France,0,0,QUALIFIER
2020-03-30,South Korea,Senegal,2,2,FRIENDLY
2021-09-13,Ecuador,Argentina,0,2,CONFED_CAMP
2026-01-30,Tunisia,Netherlands,5,0,CONFED_CAMP
2022-04-17,South Korea,Qatar,1,0,CONFED_CAMP
2022-04-06,Germany,Tunisia,2,0,FRIENDLY
2019-06-12,Ghana,Serbia,0,0,FRIENDLY
2025-03-20,Germany,England,4,0,QUALIFIER
2023-06-15,Germany,Portugal,0,0,QUALIFIER
2019-09-20,Poland,Ecuador,2,2,WC_FINAL
2019-04-12,Mexico,Saudi Arabia,1,2,QUALIFIER
2020-11-16,Canada,Serbia,1,0,CONFED_CAMP
2023-10-11,England,Ghana,0,0,QUALIFIER
2021-01-11,Tunisia,Belgium,0,1,FRIENDLY
2024-08-10,Netherlands,France,0,2,QUALIFIER
2019-03-07,Netherlands,Qatar,3,0,QUALIFIER
2021-04-18,Belgium,Spain,1,1,QUALIFIER
2022-01-11,Senegal,France,2,0,FRIENDLY
